"title","authors","pub_year","journal","abb","cit_tot","year","citation","tot","field","age","decade"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,1995,0,0,"Methods",0,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,1996,5,5,"Methods",1,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,1997,20,25,"Methods",2,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,1998,32,57,"Methods",3,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,1999,34,91,"Methods",4,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2000,37,128,"Methods",5,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2001,59,187,"Methods",6,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2002,34,221,"Methods",7,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2003,57,278,"Methods",8,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2004,63,341,"Methods",9,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2005,83,424,"Methods",10,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2006,106,530,"Methods",11,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2007,90,620,"Methods",12,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2008,106,726,"Methods",13,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2009,111,837,"Methods",14,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2010,122,959,"Methods",15,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2011,128,1087,"Methods",16,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2012,128,1215,"Methods",17,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2013,128,1343,"Methods",18,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2014,120,1463,"Methods",19,"1990s"
"What to Do (and not to Do) with Time-Series Cross-Section Data","Beck and Katz",1995,"American Political Science Review","APSR",1573,2015,110,1573,"Methods",20,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,1991,0,0,"IR",0,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,1992,3,3,"IR",0,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,1993,4,7,"IR",1,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,1994,5,12,"IR",2,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,1995,18,30,"IR",3,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,1996,14,44,"IR",4,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,1997,18,62,"IR",5,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,1998,27,89,"IR",6,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,1999,31,120,"IR",7,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2000,43,163,"IR",8,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2001,32,195,"IR",9,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2002,34,229,"IR",10,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2003,36,265,"IR",11,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2004,43,308,"IR",12,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2005,42,350,"IR",13,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2006,49,399,"IR",14,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2007,65,464,"IR",15,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2008,82,546,"IR",16,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2009,74,620,"IR",17,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2010,95,715,"IR",18,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2011,95,810,"IR",19,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2012,93,903,"IR",20,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2013,80,983,"IR",21,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2014,124,1107,"IR",22,"1990s"
"Epistemic Communities and International Policy Coordination","Haas",1992,"International Organization","IO",1167,2015,60,1167,"IR",23,"1990s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2002,0,0,"Other",0,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2003,5,5,"Other",0,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2004,27,32,"Other",1,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2005,42,74,"Other",2,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2006,49,123,"Other",3,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2007,62,185,"Other",4,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2008,93,278,"Other",5,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2009,81,359,"Other",6,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2010,102,461,"Other",7,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2011,139,600,"Other",8,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2012,120,720,"Other",9,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2013,142,862,"Other",10,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2014,140,1002,"Other",11,"2000s"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2015,144,1146,"Other",12,"2000s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1976,0,0,"Other",-1,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1977,0,0,"Other",0,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1978,0,0,"Other",1,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1979,12,12,"Other",2,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1980,7,19,"Other",3,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1981,9,28,"Other",4,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1982,15,43,"Other",5,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1983,15,58,"Other",6,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1984,19,77,"Other",7,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1985,14,91,"Other",8,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1986,20,111,"Other",9,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1987,12,123,"Other",10,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1988,21,144,"Other",11,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1989,17,161,"Other",12,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1990,12,173,"Other",13,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1991,13,186,"Other",14,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1992,12,198,"Other",15,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1993,13,211,"Other",16,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1994,22,233,"Other",17,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1995,14,247,"Other",18,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1996,19,266,"Other",19,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1997,16,282,"Other",20,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1998,21,303,"Other",21,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,1999,18,321,"Other",22,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2000,22,343,"Other",23,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2001,19,362,"Other",24,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2002,14,376,"Other",25,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2003,18,394,"Other",26,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2004,16,410,"Other",27,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2005,22,432,"Other",28,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2006,29,461,"Other",29,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2007,17,478,"Other",30,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2008,24,502,"Other",31,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2009,31,533,"Other",32,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2010,38,571,"Other",33,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2011,32,603,"Other",34,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2012,39,642,"Other",35,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2013,54,696,"Other",36,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2014,50,746,"Other",37,"1970s"
"Political Parties and Macroeconomic Policy","Hibbs",1977,"American Political Science Review","APSR",779,2015,32,778,"Other",38,"1970s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,1999,0,0,"Other",0,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2000,3,3,"Other",0,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2001,25,28,"Other",1,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2002,35,63,"Other",2,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2003,47,110,"Other",3,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2004,47,157,"Other",4,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2005,47,204,"Other",5,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2006,47,251,"Other",6,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2007,48,299,"Other",7,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2008,58,357,"Other",8,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2009,78,435,"Other",9,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2010,81,516,"Other",10,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2011,94,610,"Other",11,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2012,93,703,"Other",12,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2013,119,822,"Other",13,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2014,123,945,"Other",14,"2000s"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2015,79,1024,"Other",15,"2000s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,1998,0,0,"IR",0,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,1999,7,7,"IR",1,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2000,16,23,"IR",2,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2001,27,50,"IR",3,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2002,20,70,"IR",4,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2003,28,98,"IR",5,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2004,21,119,"IR",6,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2005,41,160,"IR",7,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2006,37,197,"IR",8,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2007,63,260,"IR",9,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2008,76,336,"IR",10,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2009,75,411,"IR",11,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2010,68,479,"IR",12,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2011,79,558,"IR",13,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2012,94,652,"IR",14,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2013,98,750,"IR",15,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2014,140,890,"IR",16,"1990s"
"International Norm Dynamics and Political Change","Finnemore and Sikkink",1998,"International Organization","IO",974,2015,84,974,"IR",17,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,1993,0,0,"Other",0,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,1994,2,2,"Other",1,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,1995,9,11,"Other",2,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,1996,5,16,"Other",3,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,1997,11,27,"Other",4,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,1998,17,44,"Other",5,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,1999,19,63,"Other",6,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2000,31,94,"Other",7,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2001,20,114,"Other",8,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2002,37,151,"Other",9,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2003,32,183,"Other",10,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2004,43,226,"Other",11,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2005,40,266,"Other",12,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2006,35,301,"Other",13,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2007,64,365,"Other",14,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2008,63,428,"Other",15,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2009,78,506,"Other",16,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2010,78,584,"Other",17,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2011,80,664,"Other",18,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2012,86,750,"Other",19,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2013,115,865,"Other",20,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2014,104,969,"Other",21,"1990s"
"Policy Paradigms, Social Learning, and the State","Hall",1993,"Comparative Politics","CP",1036,2015,67,1036,"Other",22,"1990s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2005,0,0,"Methods",0,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2006,13,13,"Methods",0,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2007,24,37,"Methods",1,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2008,65,102,"Methods",2,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2009,74,176,"Methods",3,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2010,111,287,"Methods",4,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2011,145,432,"Methods",5,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2012,156,588,"Methods",6,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2013,171,759,"Methods",7,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2014,190,949,"Methods",8,"2000s"
"Understanding Interaction Models","Brambor et al",2006,"Political Analysis","PA",1122,2015,173,1122,"Methods",9,"2000s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,1996,0,0,"Other",0,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,1997,5,5,"Other",1,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,1998,14,19,"Other",2,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,1999,29,48,"Other",3,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2000,29,77,"Other",4,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2001,29,106,"Other",5,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2002,28,134,"Other",6,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2003,36,170,"Other",7,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2004,23,193,"Other",8,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2005,35,228,"Other",9,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2006,31,259,"Other",10,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2007,49,308,"Other",11,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2008,56,364,"Other",12,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2009,60,424,"Other",13,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2010,63,487,"Other",14,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2011,59,546,"Other",15,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2012,57,603,"Other",16,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2013,73,676,"Other",17,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2014,75,751,"Other",18,"1990s"
"Political Science and the Three New Institutionalism","Hall and Taylor",1996,"Political Studies","PST",800,2015,49,800,"Other",19,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,1992,0,0,"IR",0,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,1993,13,13,"IR",1,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,1994,8,21,"IR",2,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,1995,19,40,"IR",3,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,1996,17,57,"IR",4,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,1997,41,98,"IR",5,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,1998,29,127,"IR",6,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,1999,40,167,"IR",7,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,2000,39,206,"IR",8,"1990s"
"Anarchy is What States Make of It","Wendt",1992,"International Organization","IO",728,2001,20,226,"IR",9,"1990s"
